2025-06-28 20:34:48,039 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:34:48] CRITICAL: Acceso no autorizado detectado - Acceso fuera de horario laboral
2025-06-28 20:34:56,995 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:34:56] CRITICAL: Acceso no autorizado detectado - IP no autorizada
2025-06-28 20:34:56,995 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:34:56] HIGH: Vulnerabilidad detectada - CVE-2023-12345 detectada
2025-06-28 20:34:56,996 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:34:56] CRITICAL: Malware detectado - Ransomware bloqueado
2025-06-28 20:34:57,252 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:34:57] CRITICAL: Intento de escalación de privilegios - Modificación de permisos críticos
2025-06-28 20:34:57,253 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:34:57] HIGH: Vulnerabilidad detectada - Puerto abierto sin autorización
2025-06-28 20:34:58,995 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:34:58] CRITICAL: Intento de escalación de privilegios - Uso de sudo sin autorización
2025-06-28 20:34:59,387 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:34:59] CRITICAL: Intento de escalación de privilegios - Modificación de permisos críticos
2025-06-28 20:34:59,388 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:34:59] HIGH: Vulnerabilidad detectada - CVE-2023-12345 detectada
2025-06-28 20:35:00,996 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:35:00] CRITICAL: Acceso no autorizado detectado - Múltiples intentos fallidos
2025-06-28 20:35:00,997 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:35:00] CRITICAL: Acceso no autorizado detectado - Múltiples intentos fallidos
2025-06-28 20:35:00,999 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:35:00] CRITICAL: Intento de escalación de privilegios - Uso de sudo sin autorización
2025-06-28 20:35:01,388 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:35:01] HIGH: Vulnerabilidad detectada - CVE-2023-12345 detectada
2025-06-28 20:35:02,997 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:35:02] CRITICAL: Acceso no autorizado detectado - Múltiples intentos fallidos
2025-06-28 20:35:03,256 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:35:03] CRITICAL: Intento de escalación de privilegios - Uso de sudo sin autorización
2025-06-28 20:35:05,262 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:35:05] CRITICAL: Acceso no autorizado detectado - IP no autorizada
2025-06-28 20:35:05,391 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:35:05] CRITICAL: Acceso no autorizado detectado - Múltiples intentos fallidos
2025-06-28 20:35:07,262 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:35:07] CRITICAL: Malware detectado - Troyano en directorio temporal
2025-06-28 20:35:07,264 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:35:07] CRITICAL: Intento de escalación de privilegios - Intento de acceso root
2025-06-28 20:35:07,265 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:35:07] CRITICAL: Intento de escalación de privilegios - Uso de sudo sin autorización
2025-06-28 20:35:07,392 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:35:07] CRITICAL: Malware detectado - Rootkit detectado en kernel
2025-06-28 20:35:07,393 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:35:07] CRITICAL: Malware detectado - Ransomware bloqueado
2025-06-28 20:35:09,004 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:35:09] CRITICAL: Acceso no autorizado detectado - IP no autorizada
2025-06-28 20:35:09,264 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:35:09] CRITICAL: Malware detectado - Ransomware bloqueado
2025-06-28 20:35:09,267 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:35:09] CRITICAL: Malware detectado - Ransomware bloqueado
2025-06-28 20:35:11,003 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:35:11] CRITICAL: Intento de escalación de privilegios - Modificación de permisos críticos
2025-06-28 20:35:13,265 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:35:13] CRITICAL: Malware detectado - Ransomware bloqueado
2025-06-28 20:35:13,393 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:35:13] CRITICAL: Intento de escalación de privilegios - Intento de acceso root
2025-06-28 20:35:13,395 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:35:13] CRITICAL: Malware detectado - Troyano en directorio temporal
2025-06-28 20:35:15,007 | antivirus_kali.interfaz.paneles.panel_mini_siem | WARNING | logger.py:108 | warning() | Alerta crítica: [20:35:15] CRITICAL: Intento de escalación de privilegios - Uso de sudo sin autorización
